channel_sub,like,length,category,hour,minute,second
159000,4812.0,PT6M34S,24,0,6,34
159000,1187.0,PT3M34S,24,0,3,34
159000,200.0,PT3M17S,24,0,3,17
159000,9803.0,PT3M12S,24,0,3,12
159000,1125.0,PT1M32S,24,0,1,32
159000,150.0,PT3M36S,24,0,3,36
159000,271.0,PT3M54S,24,0,3,54
159000,3752.0,PT4M9S,24,0,4,9
159000,7058.0,PT7M45S,24,0,7,45
2160,6.0,PT53S,26,0,0,53
2160,62.0,PT27S,26,0,0,27
2160,26.0,PT53S,26,0,0,53
2160,36.0,PT22S,26,0,0,22
2160,135.0,PT44S,26,0,0,44
2160,24.0,PT48S,26,0,0,48
2160,1513.0,PT26S,26,0,0,26
2160,38.0,PT21M25S,26,0,21,25
2160,30.0,PT23M35S,26,0,23,35
2160,23.0,PT14M53S,26,0,14,53
2750,119.0,PT40S,15,0,0,40
2750,38.0,PT8S,25,0,0,8
2750,95.0,PT20S,15,0,0,20
2750,53.0,PT27S,15,0,0,27
2750,110.0,PT49S,15,0,0,49
100000,23.0,PT47M37S,27,0,47,37
100000,76.0,PT5M43S,27,0,5,43
100000,16.0,PT57M46S,27,0,57,46
100000,41.0,PT10M15S,27,0,10,15
100000,24.0,PT1H5M56S,27,1,5,56
100000,79.0,PT11M9S,27,0,11,9
100000,17.0,PT43M52S,27,0,43,52
100000,109.0,PT12M33S,27,0,12,33
100000,24.0,PT49M56S,27,0,49,56
100000,70.0,PT6M12S,27,0,6,12
1170,34.0,PT4M51S,22,0,4,51
1170,31.0,PT5M16S,28,0,5,16
1170,28.0,PT4M57S,28,0,4,57
1170,11.0,PT5M53S,28,0,5,53
1170,44.0,PT3M25S,28,0,3,25
1170,17.0,PT4M36S,28,0,4,36
1170,25.0,PT8M30S,28,0,8,30
1170,19.0,PT8M34S,28,0,8,34
1170,62.0,PT6M12S,28,0,6,12
1170,19.0,PT7M43S,28,0,7,43
5830,24.0,PT22M42S,27,0,22,42
5830,72.0,PT12M58S,26,0,12,58
5830,34.0,PT18M7S,28,0,18,7
5830,26.0,PT24M46S,28,0,24,46
5830,67.0,PT12M21S,28,0,12,21
5830,36.0,PT18M22S,26,0,18,22
5830,71.0,PT13M57S,26,0,13,57
5830,32.0,PT18M45S,28,0,18,45
5830,106.0,PT14M6S,28,0,14,6
5830,31.0,PT18M40S,24,0,18,40
1810,27.0,PT11M17S,28,0,11,17
1810,31.0,PT20M18S,28,0,20,18
1810,26.0,PT1M,28,0,1,0
1810,33.0,PT54S,28,0,0,54
1810,46.0,PT58S,28,0,0,58
1810,34.0,PT11M32S,28,0,11,32
1810,40.0,PT16M55S,28,0,16,55
1810,47.0,PT2M59S,28,0,2,59
1810,57.0,PT11M5S,28,0,11,5
1810,42.0,PT12M37S,28,0,12,37
18200,174.0,PT3M49S,27,0,3,49
18200,119.0,PT5M5S,27,0,5,5
18200,105.0,PT8M39S,27,0,8,39
18200,223.0,PT6M38S,27,0,6,38
18200,432.0,PT2M44S,27,0,2,44
18200,9.0,PT2M10S,27,0,2,10
18200,2.0,PT24M27S,27,0,24,27
18200,1.0,PT13M27S,27,0,13,27
18200,9.0,PT8M53S,27,0,8,53
18200,11.0,PT12M46S,27,0,12,46
5610,40.0,PT8M25S,27,0,8,25
5610,7.0,PT41M25S,27,0,41,25
5610,6.0,PT46M25S,27,0,46,25
5610,7.0,PT14M31S,27,0,14,31
5610,11.0,PT21M5S,27,0,21,5
5610,8.0,PT8M28S,27,0,8,28
5610,27.0,PT7M27S,27,0,7,27
5610,52.0,PT41M26S,27,0,41,26
5610,1230.0,PT15M41S,27,0,15,41
5610,11.0,PT13M54S,27,0,13,54
1170,11.0,PT11M13S,27,0,11,13
1170,7.0,PT10M7S,27,0,10,7
1170,77.0,PT48M31S,27,0,48,31
1170,13.0,PT7M,22,0,7,0
1170,35.0,PT12M9S,22,0,12,9
1170,72.0,PT3M49S,22,0,3,49
1170,37.0,PT2M11S,22,0,2,11
1170,36.0,PT10M51S,22,0,10,51
1170,69.0,PT9M29S,22,0,9,29
6910,55.0,PT6M1S,27,0,6,1
6910,36.0,PT2M31S,27,0,2,31
6910,17.0,PT4M43S,27,0,4,43
6910,12.0,PT31S,27,0,0,31
6910,46.0,PT39S,27,0,0,39
6910,17.0,PT1M41S,27,0,1,41
6910,12.0,PT3M17S,27,0,3,17
6910,13.0,PT6M18S,27,0,6,18
6910,17.0,PT6M7S,27,0,6,7
6910,14.0,PT1M59S,27,0,1,59
308000,668.0,PT1H10M30S,15,1,10,30
308000,2673.0,PT3M32S,15,0,3,32
308000,4925.0,PT10M48S,15,0,10,48
308000,12521.0,PT5M51S,15,0,5,51
308000,3190.0,PT4M51S,15,0,4,51
308000,5374.0,PT22M38S,15,0,22,38
308000,2467.0,PT5M57S,15,0,5,57
308000,1843.0,PT3M51S,15,0,3,51
308000,3997.0,PT4M13S,15,0,4,13
308000,2932.0,PT3M54S,15,0,3,54
533000,2869.0,PT24M48S,19,0,24,48
533000,3888.0,PT26M10S,19,0,26,10
533000,10567.0,PT45M27S,19,0,45,27
533000,3874.0,PT40M20S,19,0,40,20
533000,5803.0,PT40M36S,19,0,40,36
533000,8152.0,PT32M8S,19,0,32,8
533000,4127.0,PT23M19S,19,0,23,19
533000,3234.0,PT4M11S,19,0,4,11
533000,5606.0,PT34M43S,19,0,34,43
533000,8305.0,PT29M57S,19,0,29,57
8190,20.0,PT15M31S,24,0,15,31
8190,26.0,PT11M56S,24,0,11,56
8190,79.0,PT7M37S,24,0,7,37
8190,27.0,PT2M53S,24,0,2,53
8190,31.0,PT8M47S,24,0,8,47
8190,76.0,PT10M11S,24,0,10,11
8190,30.0,PT7M25S,24,0,7,25
8190,62.0,PT7M7S,24,0,7,7
8190,35.0,PT8M31S,24,0,8,31
8190,46.0,PT7M59S,24,0,7,59
10300000,127312.0,PT5M20S,28,0,5,20
10300000,125214.0,PT10M2S,28,0,10,2
10300000,120139.0,PT17M52S,28,0,17,52
10300000,96580.0,PT6M30S,28,0,6,30
10300000,166666.0,PT10M32S,28,0,10,32
10300000,158295.0,PT10M6S,28,0,10,6
